id,expansion,name,rarity,color_identity,mana_value,types,is_booster
1056,MH1,Mirrodin Besieged,rare,U,3,Enchantment,True
1057,MH1,Mist-Syndicate Naga,rare,U,3,Creature - Naga Ninja,True
1058,MH1,Moonblade Shinobi,common,U,4,Creature - Human Ninja,True
1059,MH1,Oneirophage,uncommon,U,4,Creature - Squid Illusion,True
1060,MH1,Phantasmal Form,common,U,3,Instant,True
1061,MH1,Phantom Ninja,common,U,3,Creature - Illusion Ninja,True
1062,MH1,Pondering Mage,common,U,5,Creature - Human Wizard,True
1063,MH1,Prohibit,common,U,2,Instant,True
1064,MH1,Rain of Revelation,common,U,4,Instant,True
1065,MH1,Rebuild,uncommon,U,3,Instant,True
1066,MH1,Scour All Possibilities,common,U,2,Sorcery,True
1067,MH1,Scuttling Sliver,uncommon,U,3,Creature - Sliver Trilobite,True
1068,MH1,Smoke Shroud,common,U,2,Enchantment - Aura,True
1069,MH1,Spell Snuff,common,U,3,Instant,True
1070,MH1,Stream of Thought,common,U,1,Sorcery,True
1071,MH1,String of Disappearances,common,U,1,Instant,True
1072,MH1,Tribute Mage,uncommon,U,3,Creature - Human Wizard,True
1073,MH1,Twisted Reflection,uncommon,BU,2,Instant,True
1074,MH1,"Urza, Lord High Artificer",mythic,U,4,Legendary Creature - Human Artificer,True
1075,MH1,Watcher for Tomorrow,uncommon,U,2,Creature - Human Wizard,True
1076,MH1,Windcaller Aven,common,U,6,Creature - Bird Wizard,True
1077,MH1,Winter's Rest,common,U,2,Snow Enchantment - Aura,True
1078,MH1,Azra Smokeshaper,common,B,4,Creature - Azra Ninja,True
1079,MH1,Cabal Therapist,rare,B,1,Creature - Horror,True
1080,MH1,Carrion Feeder,uncommon,B,1,Creature - Zombie,True
1081,MH1,Changeling Outcast,common,B,1,Creature - Shapeshifter,True
1082,MH1,Cordial Vampire,rare,B,2,Creature - Vampire,True
1083,MH1,Crypt Rats,uncommon,B,3,Creature - Rat,True
1084,MH1,Dead of Winter,rare,B,3,Sorcery,True
1085,MH1,Defile,common,B,1,Instant,True
1086,MH1,Diabolic Edict,common,B,2,Instant,True
1087,MH1,Dregscape Sliver,uncommon,B,2,Creature - Sliver,True
1088,MH1,Endling,rare,B,4,Creature - Zombie Shapeshifter,True
1089,MH1,Feaster of Fools,uncommon,B,6,Creature - Demon,True
1090,MH1,First-Sphere Gargantua,common,B,6,Creature - Horror,True
1091,MH1,Force of Despair,rare,B,3,Instant,True
1092,MH1,Gluttonous Slug,common,B,2,Creature - Slug Horror,True
1093,MH1,Graveshifter,uncommon,B,4,Creature - Shapeshifter,True
1094,MH1,Headless Specter,common,B,3,Creature - Specter,True
1095,MH1,Mind Rake,common,B,3,Sorcery,True
1096,MH1,Mob,common,B,5,Instant,True
1097,MH1,Nether Spirit,rare,B,3,Creature - Spirit,True
1098,MH1,Ninja of the New Moon,common,B,5,Creature - Spirit Ninja,True
1099,MH1,Plague Engineer,rare,B,3,Creature - Carrier,True
1100,MH1,Putrid Goblin,common,B,2,Creature - Zombie Goblin,True
1101,MH1,Rank Officer,common,B,4,Creature - Zombie Soldier,True
1102,MH1,Ransack the Lab,common,B,2,Sorcery,True
1103,MH1,Return from Extinction,common,B,2,Sorcery,True
1104,MH1,Sadistic Obsession,uncommon,B,4,Enchantment - Aura,True
1105,MH1,Shatter Assumptions,uncommon,B,3,Sorcery,True
1106,MH1,Silumgar Scavenger,common,B,5,Creature - Zombie Bird,True
1107,MH1,Sling-Gang Lieutenant,uncommon,B,4,Creature - Goblin,True
1108,MH1,Smiting Helix,uncommon,BRW,4,Sorcery,True
1109,MH1,Throatseeker,uncommon,B,3,Creature - Vampire Ninja,True
1110,MH1,Umezawa's Charm,common,B,2,Instant,True
1111,MH1,Undead Augur,uncommon,B,2,Creature - Zombie Wizard,True
1112,MH1,Unearth,common,B,1,Sorcery,True
1113,MH1,Venomous Changeling,common,B,3,Creature - Shapeshifter,True
1114,MH1,Warteye Witch,common,B,3,Creature - Goblin Shaman,True
1115,MH1,"Yawgmoth, Thran Physician",mythic,B,4,Legendary Creature - Human Cleric,True
1116,MH1,Alpine Guide,uncommon,R,3,Snow Creature - Human Scout,True
1117,MH1,Aria of Flame,rare,R,3,Enchantment,True
1118,MH1,Bladeback Sliver,common,R,2,Creature - Sliver,True
1119,MH1,Bogardan Dragonheart,common,R,3,Creature - Human Shaman,True
1120,MH1,Cleaving Sliver,common,R,4,Creature - Sliver,True
1121,MH1,Firebolt,uncommon,R,1,Sorcery,True
1122,MH1,Fists of Flame,common,R,2,Instant,True
1123,MH1,Force of Rage,rare,R,3,Instant,True
1124,MH1,Geomancer's Gambit,common,R,3,Sorcery,True
1125,MH1,Goatnap,common,R,3,Sorcery,True
1126,MH1,Goblin Champion,common,R,1,Creature - Goblin Warrior,True
1127,MH1,Goblin Engineer,rare,R,2,Creature - Goblin Artificer,True
1128,MH1,Goblin Matron,uncommon,R,3,Creature - Goblin,True
1129,MH1,Goblin Oriflamme,uncommon,R,2,Enchantment,True
1130,MH1,Goblin War Party,common,R,4,Sorcery,True
1131,MH1,Hollowhead Sliver,uncommon,R,3,Creature - Sliver,True
1132,MH1,Igneous Elemental,common,R,6,Creature - Elemental,True
1133,MH1,Lava Dart,common,R,1,Instant,True
1134,MH1,Magmatic Sinkhole,common,R,6,Instant,True
1135,MH1,Orcish Hellraiser,common,R,2,Creature - Orc Warrior,True
1136,MH1,Ore-Scale Guardian,uncommon,R,7,Creature - Dragon,True
1137,MH1,Pashalik Mons,rare,R,3,Legendary Creature - Goblin Warrior,True
1138,MH1,Pillage,uncommon,R,3,Sorcery,True
1139,MH1,Planebound Accomplice,rare,R,3,Creature - Human Wizard,True
1140,MH1,Pyrophobia,common,R,2,Sorcery,True
1141,MH1,Quakefoot Cyclops,common,R,5,Creature - Cyclops,True
1142,MH1,Ravenous Giant,uncommon,R,4,Creature - Giant,True
1143,MH1,Reckless Charge,common,R,1,Sorcery,True
1144,MH1,Seasoned Pyromancer,mythic,R,3,Creature - Human Shaman,True
1145,MH1,Shenanigans,common,R,2,Sorcery,True
1146,MH1,Spinehorn Minotaur,common,R,3,Creature - Minotaur Berserker,True
1147,MH1,Spiteful Sliver,rare,R,3,Creature - Sliver,True
1148,MH1,Tectonic Reformation,rare,R,2,Enchantment,True
1149,MH1,Throes of Chaos,uncommon,R,4,Sorcery,True
1150,MH1,Urza's Rage,uncommon,R,3,Instant,True
1151,MH1,Vengeful Devil,uncommon,R,2,Creature - Devil,True
1152,MH1,Viashino Sandsprinter,common,R,3,Creature - Viashino Warrior,True
1153,MH1,Volatile Claws,common,R,3,Instant,True
1154,MH1,"Ayula, Queen Among Bears",rare,G,2,Legendary Creature - Bear,True
1155,MH1,Ayula's Influence,rare,G,3,Enchantment,True
1156,MH1,Bellowing Elk,common,G,4,Creature - Elk,True
1157,MH1,Collector Ouphe,rare,G,2,Creature - Ouphe,True
1158,MH1,Conifer Wurm,uncommon,G,5,Snow Creature - Wurm,True
1159,MH1,Crashing Footfalls,rare,G,0,Sorcery,True
1160,MH1,Deep Forest Hermit,rare,G,5,Creature - Elf Druid,True
1161,MH1,Elvish Fury,common,G,1,Instant,True
1162,MH1,Excavating Anurid,common,G,5,Creature - Frog Beast,True
1163,MH1,Force of Vigor,rare,G,4,Instant,True
1164,MH1,Frostwalla,common,G,3,Snow Creature - Lizard,True
1165,MH1,Genesis,rare,G,5,Creature - Incarnation,True
1166,MH1,Glacial Revelation,uncommon,G,3,Sorcery,True
1167,MH1,Hexdrinker,mythic,G,1,Creature - Snake,True
1168,MH1,Krosan Tusker,common,G,7,Creature - Boar Beast,True
1169,MH1,Llanowar Tribe,uncommon,G,3,Creature - Elf Druid,True
1170,MH1,Mother Bear,common,G,2,Creature - Bear,True
1171,MH1,Murasa Behemoth,common,G,6,Creature - Beast,True
1172,MH1,Nantuko Cultivator,uncommon,G,4,Creature - Insect Druid,True
1173,MH1,Nimble Mongoose,common,G,1,Creature - Mongoose,True
1174,MH1,Regrowth,uncommon,G,2,Sorcery,True
1175,MH1,Rime Tender,common,G,2,Snow Creature - Human Druid,True
1176,MH1,Saddled Rimestag,uncommon,G,2,Snow Creature - Elk,True
1177,MH1,Savage Swipe,common,G,1,Sorcery,True
1178,MH1,Scale Up,uncommon,G,1,Sorcery,True
1179,MH1,Spore Frog,common,G,1,Creature - Frog,True
1180,MH1,Springbloom Druid,common,G,3,Creature - Elf Druid,True
1181,MH1,Squirrel Nest,uncommon,G,3,Enchantment - Aura,True
1182,MH1,Tempered Sliver,uncommon,G,3,Creature - Sliver,True
1183,MH1,Thornado,common,G,3,Instant,True
1184,MH1,Treefolk Umbra,common,G,3,Enchantment - Aura,True
1185,MH1,Treetop Ambusher,common,G,2,Creature - Elf Berserker,True
1186,MH1,Trumpeting Herd,common,G,4,Sorcery,True
1187,MH1,Twin-Silk Spider,common,G,3,Creature - Spider,True
1188,MH1,Unbound Flourishing,mythic,G,3,Enchantment,True
1189,MH1,Wall of Blossoms,uncommon,G,2,Creature - Plant Wall,True
1190,MH1,Weather the Storm,common,G,2,Instant,True
1191,MH1,Webweaver Changeling,uncommon,G,5,Creature - Shapeshifter,True
1192,MH1,Winding Way,common,G,2,Sorcery,True
1193,MH1,Abominable Treefolk,uncommon,GU,4,Snow Creature - Treefolk,True
1194,MH1,Cloudshredder Sliver,rare,RW,2,Creature - Sliver,True
1195,MH1,Collected Conjuring,rare,RU,4,Sorcery,True
1196,MH1,Eladamri's Call,rare,GW,2,Instant,True
1197,MH1,Etchings of the Chosen,uncommon,BW,3,Enchantment,True
1198,MH1,Fallen Shinobi,rare,BU,5,Creature - Zombie Ninja,True
1199,MH1,The First Sliver,mythic,BGRUW,5,Legendary Creature - Sliver,True
1200,MH1,Good-Fortune Unicorn,uncommon,GW,3,Creature - Unicorn,True
1201,MH1,"Hogaak, Arisen Necropolis",rare,BG,7,Legendary Creature - Avatar,True
1202,MH1,Ice-Fang Coatl,rare,GU,2,Snow Creature - Snake,True
1203,MH1,Ingenious Infiltrator,uncommon,BU,4,Creature - Vedalken Ninja,True
1204,MH1,Kaya's Guile,rare,BW,3,Instant,True
1205,MH1,"Kess, Dissident Mage",mythic,BRU,4,Legendary Creature - Human Wizard,True
1206,MH1,Lavabelly Sliver,uncommon,RW,3,Creature - Sliver,True
1207,MH1,Lightning Skelemental,rare,BR,3,Creature - Elemental Skeleton,True
1208,MH1,Munitions Expert,uncommon,BR,2,Creature - Goblin,True
1209,MH1,Nature's Chant,common,GW,2,Instant,True
1210,MH1,Reap the Past,rare,GR,2,Sorcery,True
1211,MH1,Rotwidow Pack,uncommon,BG,4,Creature - Spider,True
1212,MH1,Ruination Rioter,uncommon,GR,2,Creature - Human Berserker,True
1213,MH1,Soulherder,uncommon,UW,3,Creature - Spirit,True
1214,MH1,Thundering Djinn,uncommon,RU,5,Creature - Djinn,True
1215,MH1,Unsettled Mariner,rare,UW,2,Creature - Shapeshifter,True
1216,MH1,Wrenn and Six,mythic,GR,2,Legendary Planeswalker - Wrenn,True
1217,MH1,Altar of Dementia,rare,,2,Artifact,True
1218,MH1,Amorphous Axe,common,,2,Artifact - Equipment,True
1219,MH1,Arcum's Astrolabe,common,,1,Snow Artifact,True
1220,MH1,Birthing Boughs,uncommon,,3,Artifact,True
1221,MH1,Farmstead Gleaner,uncommon,,3,Artifact Creature - Scarecrow,True
1222,MH1,Fountain of Ichor,common,,3,Artifact,True
1223,MH1,Icehide Golem,uncommon,,1,Snow Artifact Creature - Golem,True
1224,MH1,Lesser Masticore,uncommon,,2,Artifact Creature - Masticore,True
1225,MH1,Mox Tantalite,mythic,,0,Artifact,True
1226,MH1,Scrapyard Recombiner,rare,,3,Artifact Creature - Construct,True
1227,MH1,Sword of Sinew and Steel,mythic,,3,Artifact - Equipment,True
1228,MH1,Sword of Truth and Justice,mythic,,3,Artifact - Equipment,True
1229,MH1,Talisman of Conviction,uncommon,RW,2,Artifact,True
1230,MH1,Talisman of Creativity,uncommon,RU,2,Artifact,True
1231,MH1,Talisman of Curiosity,uncommon,GU,2,Artifact,True
1232,MH1,Talisman of Hierarchy,uncommon,BW,2,Artifact,True
1233,MH1,Talisman of Resilience,uncommon,BG,2,Artifact,True
1234,MH1,Universal Automaton,common,,1,Artifact Creature - Shapeshifter,True
1235,MH1,Barren Moor,uncommon,B,0,Land,True
1236,MH1,Cave of Temptation,common,,0,Land,True
1237,MH1,Fiery Islet,rare,RU,0,Land,True
1238,MH1,Forgotten Cave,uncommon,R,0,Land,True
1239,MH1,Frostwalk Bastion,uncommon,,0,Snow Land,True
1240,MH1,Hall of Heliod's Generosity,rare,W,0,Legendary Land,True
1241,MH1,Lonely Sandbar,uncommon,U,0,Land,True
1242,MH1,Nurturing Peatland,rare,BG,0,Land,True
1243,MH1,Prismatic Vista,rare,,0,Land,True
1244,MH1,Secluded Steppe,uncommon,W,0,Land,True
1245,MH1,Silent Clearing,rare,BW,0,Land,True
1246,MH1,Sunbaked Canyon,rare,RW,0,Land,True
1247,MH1,Tranquil Thicket,uncommon,G,0,Land,True
1248,MH1,Waterlogged Grove,rare,GU,0,Land,True
1249,MH1,Snow-Covered Plains,common,W,0,Basic Snow Land - Plains,True
1250,MH1,Snow-Covered Island,common,U,0,Basic Snow Land - Island,True
1251,MH1,Snow-Covered Swamp,common,B,0,Basic Snow Land - Swamp,True
1252,MH1,Snow-Covered Mountain,common,R,0,Basic Snow Land - Mountain,True
1253,MH1,Snow-Covered Forest,common,G,0,Basic Snow Land - Forest,True
1254,MH1,Flusterstorm,rare,U,1,Instant,False
1301,2XM,Karn Liberated,mythic,,7,Legendary Planeswalker - Karn,True
1302,2XM,Alabaster Mage,common,W,2,Creature - Human Wizard,True
1303,2XM,Ancestral Blade,common,W,2,Artifact - Equipment,True
1304,2XM,Angel of the Dawn,common,W,5,Creature - Angel,True
1305,2XM,Archangel of Thune,mythic,W,5,Creature - Angel,True
1306,2XM,Auriok Salvagers,uncommon,W,4,Creature - Human Soldier,True
1307,2XM,Austere Command,rare,W,6,Sorcery,True
1308,2XM,"Avacyn, Angel of Hope",mythic,W,8,Legendary Creature - Angel,True
1309,2XM,Blade Splicer,rare,W,3,Creature - Human Artificer,True
1310,2XM,Boon Reflection,rare,W,5,Enchantment,True
1311,2XM,Council's Judgment,rare,W,3,Sorcery,True
1312,2XM,Crib Swap,common,W,3,Tribal Instant - Shapeshifter,True
1313,2XM,Crusader of Odric,common,W,3,Creature - Human Soldier,True
1314,2XM,Ethersworn Canonist,rare,W,2,Artifact Creature - Human Cleric,True
1315,2XM,Fencing Ace,uncommon,W,2,Creature - Human Soldier,True
1316,2XM,Flickerwisp,uncommon,W,3,Creature - Elemental,True
1317,2XM,Fortify,common,W,3,Instant,True
1318,2XM,Glint-Sleeve Artisan,common,W,3,Creature - Dwarf Artificer,True
1319,2XM,"Kemba, Kha Regent",rare,W,3,Legendary Creature - Cat Cleric,True
1320,2XM,Land Tax,mythic,W,1,Enchantment,True
1321,2XM,Leonin Abunas,rare,W,4,Creature - Cat Cleric,True
1322,2XM,Master Splicer,uncommon,W,4,Creature - Human Artificer,True
1323,2XM,Myrsmith,uncommon,W,2,Creature - Human Artificer,True
1324,2XM,Open the Vaults,rare,W,6,Sorcery,True
1325,2XM,Path to Exile,uncommon,W,1,Instant,True
1326,2XM,Puresteel Paladin,rare,W,2,Creature - Human Knight,True
1327,2XM,Remember the Fallen,common,W,3,Sorcery,True
1328,2XM,Revoke Existence,common,W,2,Sorcery,True
1329,2XM,Sanctum Gargoyle,common,W,4,Artifact Creature - Gargoyle,True
1330,2XM,Sanctum Spirit,common,W,4,Creature - Spirit,True
1331,2XM,Stoneforge Mystic,rare,W,2,Creature - Kor Artificer,True
1332,2XM,Stonehewer Giant,rare,W,5,Creature - Giant Warrior,True
1333,2XM,Strength of Arms,common,W,1,Instant,True
1334,2XM,Tempered Steel,rare,W,3,Enchantment,True
1335,2XM,Thraben Inspector,common,W,1,Creature - Human Soldier,True
1336,2XM,Topple the Statue,uncommon,W,3,Instant,True
1337,2XM,Valor in Akros,uncommon,W,4,Enchantment,True
1338,2XM,Valorous Stance,uncommon,W,2,Instant,True
1339,2XM,Wrath of God,rare,W,4,Sorcery,True
1340,2XM,Apprentice Wizard,common,U,3,Creature - Human Wizard,True
1341,2XM,Arcum Dagsson,mythic,U,4,Legendary Creature - Human Artificer,True
1342,2XM,Argivian Restoration,common,U,4,Sorcery,True
1343,2XM,"Braids, Conjurer Adept",rare,U,4,Legendary Creature - Human Wizard,True
1344,2XM,Brainstorm,common,U,1,Instant,True
1345,2XM,Cloudreader Sphinx,common,U,5,Creature - Sphinx,True
1346,2XM,Corridor Monitor,common,U,2,Artifact Creature - Construct,True
1347,2XM,Cyclonic Rift,rare,U,2,Instant,True
1348,2XM,Deepglow Skate,rare,U,5,Creature - Fish,True
1349,2XM,Esperzoa,uncommon,U,3,Artifact Creature - Jellyfish,True
1350,2XM,Faerie Mechanist,common,U,4,Artifact Creature - Faerie Artificer,True
1351,2XM,Force of Will,mythic,U,5,Instant,True
1352,2XM,Frogify,common,U,2,Enchantment - Aura,True
1353,2XM,Grand Architect,rare,U,3,Creature - Vedalken Artificer,True
1354,2XM,Hinder,uncommon,U,3,Instant,True
1355,2XM,Inkwell Leviathan,rare,U,9,Artifact Creature - Leviathan,True
1356,2XM,"Jace, the Mind Sculptor",mythic,U,4,Legendary Planeswalker - Jace,True
1357,2XM,Master of Etherium,rare,U,3,Artifact Creature - Vedalken Wizard,True
1358,2XM,Master Transmuter,rare,U,4,Artifact Creature - Human Artificer,True
1359,2XM,Metallic Rebuke,common,U,3,Instant,True
1360,2XM,Parasitic Strix,common,U,3,Artifact Creature - Bird,True
1361,2XM,Phyrexian Metamorph,rare,U,4,Artifact Creature - Shapeshifter,True
1362,2XM,Pongify,uncommon,U,1,Instant,True
1363,2XM,Relic Runner,common,U,2,Creature - Human Rogue,True
1364,2XM,Reshape,rare,U,2,Sorcery,True
1365,2XM,Riddlesmith,uncommon,U,2,Creature - Human Artificer,True
1366,2XM,Rush of Knowledge,uncommon,U,5,Sorcery,True
1367,2XM,Sentinel of the Pearl Trident,uncommon,U,5,Creature - Merfolk Soldier,True
1368,2XM,Serra Sphinx,uncommon,U,5,Creature - Sphinx,True
1369,2XM,Sift,common,U,4,Sorcery,True
1370,2XM,Steel Sabotage,common,U,1,Instant,True
1371,2XM,Thirst for Knowledge,uncommon,U,3,Instant,True
1372,2XM,Thought Reflection,rare,U,7,Enchantment,True
1373,2XM,Treasure Mage,uncommon,U,3,Creature - Human Wizard,True
1374,2XM,Vedalken Infuser,common,U,4,Creature - Vedalken Wizard,True
1375,2XM,Well of Ideas,rare,U,6,Enchantment,True
1376,2XM,Ad Nauseam,rare,B,5,Instant,True
1377,2XM,Beacon of Unrest,rare,B,5,Sorcery,True
1378,2XM,Bone Picker,common,B,4,Creature - Bird,True
1379,2XM,Cast Down,common,B,2,Instant,True
1380,2XM,Costly Plunder,common,B,2,Instant,True
1381,2XM,Dark Confidant,mythic,B,2,Creature - Human Wizard,True
1382,2XM,Death's Shadow,rare,B,1,Creature - Avatar,True
1383,2XM,Defiant Salvager,common,B,3,Creature - Aetherborn Artificer,True
1384,2XM,Dire Fleet Hoarder,common,B,2,Creature - Human Pirate,True
1385,2XM,Disciple of Bolas,rare,B,4,Creature - Human Wizard,True
1386,2XM,Disciple of the Vault,uncommon,B,1,Creature - Human Cleric,True
1387,2XM,Divest,common,B,1,Sorcery,True
1388,2XM,Doomed Necromancer,rare,B,3,Creature - Human Cleric Mercenary,True
1389,2XM,Dread Return,uncommon,B,4,Sorcery,True
1390,2XM,Driver of the Dead,common,B,4,Creature - Vampire,True
1391,2XM,Drown in Sorrow,uncommon,B,3,Sorcery,True
1392,2XM,Executioner's Capsule,common,B,1,Artifact,True
1393,2XM,Fatal Push,uncommon,B,1,Instant,True
1394,2XM,"Geth, Lord of the Vault",mythic,B,6,Legendary Creature - Zombie,True
1395,2XM,Glaze Fiend,common,B,2,Artifact Creature - Illusion,True
1396,2XM,Heartless Pillage,common,B,3,Sorcery,True
1397,2XM,Magus of the Abyss,rare,B,4,Creature - Human Wizard,True
1398,2XM,Magus of the Will,rare,B,3,Creature - Human Wizard,True
1399,2XM,Morkrut Banshee,uncommon,B,5,Creature - Spirit,True
1400,2XM,Oubliette,uncommon,B,3,Enchantment,True
1401,2XM,Ovalchase Daredevil,uncommon,B,4,Creature - Human Pilot,True
1402,2XM,Painsmith,uncommon,B,2,Creature - Human Artificer,True
1403,2XM,Ravenous Trap,rare,B,4,Instant - Trap,True
1404,2XM,Salvage Titan,rare,B,6,Artifact Creature - Golem,True
1405,2XM,Silumgar Scavenger,common,B,5,Creature - Zombie Bird,True
1406,2XM,Skirsdag High Priest,rare,B,2,Creature - Human Cleric,True
1407,2XM,"Skithiryx, the Blight Dragon",mythic,B,5,Legendary Creature - Dragon Skeleton,True
1408,2XM,Supernatural Stamina,common,B,1,Instant,True
1409,2XM,Thoughtseize,rare,B,1,Sorcery,True
1410,2XM,Toxic Deluge,rare,B,3,Sorcery,True
1411,2XM,Twisted Abomination,common,B,6,Creature - Zombie Mutant,True
1412,2XM,Vampire Hexmage,uncommon,B,2,Creature - Vampire Shaman,True
1413,2XM,Wound Reflection,rare,B,6,Enchantment,True
1414,2XM,Abrade,common,R,2,Instant,True
1415,2XM,Balduvian Rage,common,R,1,Instant,True
1416,2XM,Battle-Rattle Shaman,common,R,4,Creature - Goblin Shaman,True
1417,2XM,Blasphemous Act,rare,R,9,Sorcery,True
1418,2XM,Blood Moon,rare,R,3,Enchantment,True
1419,2XM,Bloodshot Trainee,uncommon,R,4,Creature - Goblin Warrior,True
1420,2XM,Brimstone Volley,uncommon,R,3,Instant,True
1421,2XM,Cathartic Reunion,common,R,2,Sorcery,True
1422,2XM,Cragganwick Cremator,rare,R,4,Creature - Giant Shaman,True
1423,2XM,Dismantle,uncommon,R,3,Sorcery,True
1424,2XM,Dualcaster Mage,rare,R,3,Creature - Human Wizard,True
1425,2XM,Galvanic Blast,uncommon,R,1,Instant,True
1426,2XM,Goblin Gaveleer,common,R,1,Creature - Goblin Warrior,True
1427,2XM,Goblin Guide,rare,R,1,Creature - Goblin Scout,True
1428,2XM,"Godo, Bandit Warlord",rare,R,6,Legendary Creature - Human Barbarian,True
1429,2XM,Grim Lavamancer,rare,R,1,Creature - Human Wizard,True
1430,2XM,Heat Shimmer,rare,R,3,Sorcery,True
1431,2XM,Imperial Recruiter,mythic,R,3,Creature - Human Advisor,True
1432,2XM,Ion Storm,rare,R,3,Enchantment,True
1433,2XM,Kazuul's Toll Collector,common,R,3,Creature - Ogre Warrior,True
1434,2XM,Kuldotha Flamefiend,uncommon,R,6,Creature - Elemental,True
1435,2XM,Lightning Axe,common,R,1,Instant,True
1436,2XM,Mana Echoes,mythic,R,4,Enchantment,True
1437,2XM,Orcish Vandal,common,R,2,Creature - Orc Warrior,True
1438,2XM,Pyrewild Shaman,uncommon,R,3,Creature - Goblin Shaman,True
1439,2XM,Rage Reflection,rare,R,6,Enchantment,True
1440,2XM,Rapacious Dragon,common,R,5,Creature - Dragon,True
1441,2XM,Ravenous Intruder,uncommon,R,2,Creature - Gremlin,True
1442,2XM,Rolling Earthquake,rare,R,1,Sorcery,True
1443,2XM,Salivating Gremlins,common,R,3,Creature - Gremlin,True
1444,2XM,Skinbrand Goblin,common,R,2,Creature - Goblin Warrior,True
1445,2XM,Sneak Attack,mythic,R,4,Enchantment,True
1446,2XM,Temur Battle Rage,common,R,2,Instant,True
1447,2XM,Thopter Engineer,uncommon,R,3,Creature - Human Artificer,True
1448,2XM,Trash for Treasure,uncommon,R,3,Sorcery,True
1449,2XM,Tuktuk the Explorer,rare,R,3,Legendary Creature - Goblin,True
1450,2XM,Weapon Surge,common,R,1,Instant,True
1451,2XM,Ancient Stirrings,common,G,1,Sorcery,True
